Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,379.40625,-80.175,0.0,bottom
C1,297.3425,-36.5125,180.0,bottom
C10,361.28239,-98.748485,0.0,bottom
C11,359.56875,-103.414598,0.0,bottom
C12,372.198072,-98.617275,180.0,bottom
C13,373.576446,-103.447575,180.0,bottom
C14,366.417615,-95.267056,90.0,bottom
C15,362.74375,-95.25,90.0,bottom
C16,365.594477,-110.158517,315.0,bottom
C2,301.329864,-38.89375,90.0,bottom
C3,370.086915,-114.355772,135.0,bottom
C4,366.253422,-114.619837,45.0,bottom
C5,372.516466,-93.688597,0.0,bottom
C6,363.899353,-95.248434,90.0,bottom
C7,364.52033,-109.526443,315.0,bottom
C8,367.50625,-95.25,90.0,bottom
C9,357.1875,-96.04375,270.0,bottom
D1,28.575,-26.19375,90.0,bottom
D10,238.125,-26.19375,90.0,bottom
D11,257.175,-26.19375,90.0,bottom
D12,276.225,-26.19375,90.0,bottom
D13,295.275,-26.19375,90.0,bottom
D14,319.0875,-26.19375,90.0,bottom
D15,338.1375,-26.19375,90.0,bottom
D16,357.1875,-26.19375,90.0,bottom
D17,28.575,-54.76875,90.0,bottom
D18,47.625,-54.76875,90.0,bottom
D19,66.675,-54.76875,90.0,bottom
D2,66.675,-26.19375,90.0,bottom
D20,85.725,-54.76875,90.0,bottom
D21,104.775,-54.76875,90.0,bottom
D22,123.825,-54.76875,90.0,bottom
D23,142.875,-54.76875,90.0,bottom
D24,161.925,-54.76875,90.0,bottom
D25,180.975,-54.76875,90.0,bottom
D26,200.025,-54.76875,90.0,bottom
D27,219.075,-54.76875,90.0,bottom
D28,238.125,-54.76875,90.0,bottom
D29,257.175,-54.76875,90.0,bottom
D3,85.725,-26.19375,90.0,bottom
D30,285.75,-54.76875,90.0,bottom
D31,319.0875,-54.76875,90.0,bottom
D32,338.1375,-54.76875,90.0,bottom
D33,357.1875,-54.76875,90.0,bottom
D34,33.3375,-73.81875,90.0,bottom
D35,57.15,-73.81875,90.0,bottom
D36,76.2,-73.81875,90.0,bottom
D37,95.25,-73.81875,90.0,bottom
D38,114.3,-73.81875,90.0,bottom
D39,133.35,-73.81875,90.0,bottom
D4,104.775,-26.19375,90.0,bottom
D40,152.4,-73.81875,90.0,bottom
D41,171.45,-73.81875,90.0,bottom
D42,190.5,-73.81875,90.0,bottom
D43,209.55,-73.81875,90.0,bottom
D44,228.6,-73.81875,90.0,bottom
D45,247.65,-73.81875,90.0,bottom
D46,266.7,-73.81875,90.0,bottom
D47,292.89375,-83.34375,90.0,bottom
D48,319.0875,-73.81875,90.0,bottom
D49,338.1375,-73.81875,90.0,bottom
D5,123.825,-26.19375,90.0,bottom
D50,357.1875,-73.81875,90.0,bottom
D51,35.71875,-92.86875,90.0,bottom
D52,61.9125,-92.86875,90.0,bottom
D53,80.9625,-92.86875,90.0,bottom
D54,100.0125,-92.86875,90.0,bottom
D55,119.0625,-92.86875,90.0,bottom
D56,138.1125,-92.86875,90.0,bottom
D57,157.1625,-92.86875,90.0,bottom
D58,176.2125,-92.86875,90.0,bottom
D59,195.2625,-92.86875,90.0,bottom
D6,152.4,-26.19375,90.0,bottom
D60,214.3125,-92.86875,90.0,bottom
D61,233.3625,-92.86875,90.0,bottom
D62,252.4125,-92.86875,90.0,bottom
D63,271.4625,-92.86875,90.0,bottom
D64,40.48125,-111.91875,90.0,bottom
D65,71.4375,-111.91875,90.0,bottom
D66,90.4875,-111.91875,90.0,bottom
D67,109.5375,-111.91875,90.0,bottom
D68,128.5875,-111.91875,90.0,bottom
D69,147.6375,-111.91875,90.0,bottom
D7,171.45,-26.19375,90.0,bottom
D70,166.6875,-111.91875,90.0,bottom
D71,185.7375,-111.91875,90.0,bottom
D72,204.7875,-111.91875,90.0,bottom
D73,223.8375,-111.91875,90.0,bottom
D74,242.8875,-111.91875,90.0,bottom
D75,278.60625,-111.91875,90.0,bottom
D76,338.1375,-111.91875,90.0,bottom
D77,30.95625,-130.96875,90.0,bottom
D78,54.76875,-130.96875,90.0,bottom
D79,78.58125,-130.96875,90.0,bottom
D8,190.5,-26.19375,90.0,bottom
D80,150.01875,-130.96875,90.0,bottom
D81,221.45625,-130.96875,90.0,bottom
D82,245.26875,-130.96875,90.0,bottom
D83,269.08125,-130.96875,90.0,bottom
D84,292.89375,-130.96875,90.0,bottom
D85,319.0875,-130.96875,90.0,bottom
D86,338.1375,-130.96875,90.0,bottom
D87,357.1875,-130.96875,90.0,bottom
D88,367.445295,-27.473948,90.0,bottom
D89,354.0125,-83.34375,180.0,top
D9,209.55,-26.19375,90.0,bottom
F1,215.9,-28.575,270.0,bottom
Flash,378.61875,-93.6625,0.0,bottom
J1,220.6625,-16.66875,180.0,bottom
J2,220.6625,-37.30625,90.0,bottom
